,University,Degree,GPA,GRE Verbal,GRE Quantitive,GRE Writing,GRE Subject,Classification
Great Schools,Florida State University, PhD ,4.0,301.3333333333333,341.6666666666667,4.5,810.0,Great
Great Schools,University Of Southern California, PhD ,3.99,301.6666666666667,327.0,1.8333333333333333,700.0,Great
Great Schools,Southern Methodist University, PhD ,3.953333333333333,480.0,545.3333333333334,3.0,710.0,Great
Great Schools,University Of Alabama, PhD ,3.95,160.0,160.0,5.0,740.0,Great
Great Schools,Princeton University, PhD ,3.9275,298.5,315.5,4.75,730.0,Great
Great Schools,Ohio State University (OSU), PhD ,3.9233333333333333,673.3333333333334,780.0,5.0,780.0,Great
Great Schools,Lehigh University, PhD ,3.8925,243.0,263.8,5.1,720.0,Great
Great Schools,University Of Oregon, PhD ,3.89,241.16666666666666,249.83333333333334,5.333333333333333,723.3333333333334,Great
Great Schools,New York University (NYU), PhD ,3.885,436.5,480.0,4.75,434.5,Great
Great Schools,"University Of Nevada, Reno", PhD ,3.885,350.0,362.6666666666667,3.3333333333333335,740.0,Great
Great Schools,"University Of Wisconsin, Madison", PhD ,3.86,702.5,770.0,5.25,720.0,Great
Great Schools,University Of Windsor, PhD ,3.86,161.0,163.0,6.0,95.0,Great
Great Schools,Loyola University Maryland, Other ,3.853333333333333,299.6666666666667,306.0,5.333333333333333,800.0,Great
Great Schools,McGill University, PhD ,3.85,605.0,690.0,4.0,790.0,Great
Great Schools,Washington University in St. Louis (WashU/WUSTL), PhD ,3.846,290.6,271.6,5.3,730.0,Great
Great Schools,Ohio State University, PhD ,3.8425,161.25,161.33333333333334,4.291666666666667,750.0,Great
Great Schools,Spalding University, Other ,3.842,222.4,241.2,22.0,620.0,Great
Great Schools,University Of Kansas, PhD ,3.8299999999999996,372.3333333333333,422.3333333333333,3.5833333333333335,776.6666666666666,Great
Great Schools,Oklahoma State University, PhD ,3.82,381.0,413.75,3.5,790.0,Great
Great Schools,Ohio University, PhD ,3.813333333333334,309.3333333333333,370.6666666666667,4.666666666666667,790.0,Great
Great Schools,Northwestern University, PhD ,3.8016666666666663,253.83333333333334,253.83333333333334,5.083333333333333,800.0,Great
Great Schools,CUNY Graduate Center, PhD ,3.8,323.6666666666667,350.6666666666667,4.833333333333333,725.0,Great
Mid-level Schools,University Of Missouri, PhD ,4.0,162.0,159.0,4.0,840.0,Mid-level
Mid-level Schools,Fuller Theological Seminary, PhD ,3.95,157.5,158.5,4.75,710.0,Mid-level
Mid-level Schools,University Of Ottawa, PhD ,3.95,169.0,158.0,6.0,810.0,Mid-level
Mid-level Schools,Fairleigh Dickinson University, PhD ,3.875,162.0,156.66666666666666,3.3333333333333335,780.0,Mid-level
Mid-level Schools,Bowling Green State University, PhD ,3.827777777777778,160.88888888888889,156.88888888888889,4.833333333333333,793.3333333333334,Mid-level
Mid-level Schools,Xavier University, Other ,3.82375,160.6,157.2,4.35,735.0,Mid-level
Mid-level Schools,University Of Windsor, Masters ,3.8,159.0,160.0,5.5,780.0,Mid-level
Mid-level Schools,University Of Indianapolis, Other ,3.799285714285714,217.35714285714286,232.28571428571428,4.928571428571429,731.6666666666666,Mid-level
Mid-level Schools,Arizona State University, PhD ,3.796666666666667,160.0,160.75,3.625,680.0,Mid-level
Mid-level Schools,Pace University, Other ,3.7899999999999996,323.6666666666667,359.3333333333333,4.666666666666667,745.0,Mid-level
Mid-level Schools,UC Berkeley, PhD ,3.7899999999999996,298.0,312.75,4.5,795.0,Mid-level
Mid-level Schools,SUNY Albany, PhD ,3.7866666666666666,317.5,328.5,4.916666666666667,700.0,Mid-level
Mid-level Schools,Central Michigan University, PhD ,3.785,225.35714285714286,239.0,4.857142857142857,737.5,Mid-level
Mid-level Schools,University Of Notre Dame, PhD ,3.785,405.6,494.2,3.6,750.0,Mid-level
Mid-level Schools,University Of Calgary, Masters ,3.7840000000000003,162.2,156.0,5.2,800.0,Mid-level
Mid-level Schools,George Mason University, PhD ,3.78125,364.75,352.0,4.5625,740.0,Mid-level
Mid-level Schools,University Of Memphis, PhD ,3.776,358.0,383.2,5.2,750.0,Mid-level
Mid-level Schools,University Of Connecticut, PhD ,3.7707692307692304,200.92307692307693,198.92307692307693,4.615384615384615,740.0,Mid-level
Mid-level Schools,University Of Rhode Island, PhD ,3.77,269.25,295.75,4.75,680.0,Mid-level
