University,Program,Degree,Entrance Semester,Decision,Decision Date,GPA,GRE Verbal,GRE Writing,GRE,Date Added,Notes
University Of Wisconsin Oshkosh,Clinical Psychology,Masters,F23,Accepted,2023-05-08,3.17,,,,2023-05-12,Turned down due to accepting another offer.
Simon Fraser University,MA Counselling Psychology,Masters,F23,Accepted,2023-05-04,,,,,2023-05-11,
John Jay College Of Criminal Justice,Forensic Psychology,Masters,F23,Accepted,2023-05-10,3.50,,,,2023-05-10,
DePaul University,Community Psychology,Masters,F23,Accepted,2023-05-08,3.80,,,,2023-05-08,Will not be accepting offer! Hope this helps others status be updated
University Of Toronto,OISE - Counselling  Psychology,Masters,F23,Rejected,2023-05-05,3.70,,,,2023-05-05,
New York University (NYU) - Wagner,Psychology,Masters,F23,Rejected,2023-05-03,3.62,,,,2023-05-03,"(International student), graduated from one of highest rank uni in my country, already secured scholarship, and have several local publication"
New York University,Psychology,Masters,F23,Rejected,2023-05-03,3.60,,,,2023-05-03,"Submitted my application very near the deadline. Received rejection ~9 weeks after deadline of 1 March. Psychology undergrad from the highest ranked university in my country, GPA above 3.50, secured external masters scholarship covering all tuition and living costs (among other miscallaneous costs). One publication but at a local journal, plus multiple undergrad funding grants for projects,"
Concordia University (Canada),Psychology,Masters,F23,Accepted,2023-05-02,3.70,,,,2023-05-02,
Simon Fraser University,Educational Psychology,Masters,F23,Rejected,2023-05-02,,,,,2023-05-02,
"University Of California, Berkeley",School Psychology,PhD,F23,Accepted,2023-03-24,3.57,,,,2023-05-02,I am an international student with an MA in Psychology from the U.S. I was admitted from the waitlist. I was already informed that most of the decisions are released by April 1st. Thrilled to start the program!
North Carolina State University,Applied Social Psychology,PhD,F23,Rejected,2023-04-28,3.50,,,,2023-04-28,Sad:(
University Of Pittsburgh,Applied Developmental Psychology,Masters,F23,Accepted,2023-03-23,3.76,,,,2023-04-25,
Towson University,Experimental Psychology,Masters,F23,Rejected,2023-04-25,3.76,,,,2023-04-25,
New York University,Psychology,Masters,F23,Accepted,2023-04-24,3.61,,,,2023-04-24,
Toronto Metropolitan University,Criminology,Masters,F23,Rejected,2023-04-24,,,,,2023-04-24,"Not surprised. For those who are interested, I have an undergraduate degree in psychology, honours thesis experience, and a CGPA at the time of application of 4.17/4.3."
University Of Toronto OISE,Counselling Psychology MEd,Masters,F23,Accepted,2023-03-24,3.99,,,,2023-04-22,"So shocked that I got into this program! I know I have good grades but this program is so competitive, and I didn't get into all of the schools I applied to. For future applicants: the day before I received an acceptance email, I went onto ACORN and noticed that there was a little ""invited"" in orange text next to my degree registration status. The next day, I checked the SGS portal (the one you use to check your application status) and it had an update. A few hours later I got the email notifying me that there was a change. Sharing these minor details to try to demystify this process! I know how desperate I was for any nuggets of information. I accepted the offer on April 1st -- so excited to start this program in the fall!"
California State University Long Beach,Counseling Psychology,Masters,F23,Wait listed,,3.50,,,,2023-04-21,
DENVER,PSYCHOLOGY,PhD,F23,Rejected,2023-04-21,,,,,2023-04-21,"IGNORE STATUS: Anyone heard from them? Its past April 15 and NOTHING. Not a rejection, not a waitlist notif. Seriously?"
University Of New Mexico,Clinical Psychology,PhD,F23,Rejected,2023-04-21,3.30,,,,2023-04-21,"(MA GPA 3.9)  Generic rejection email, PhD spelled wrong in email subject line."
New York University,Industrial Organizational Psychology,Masters,F23,Accepted,2023-04-07,3.80,,,,2023-04-21,
University Of Pittsburgh,Applied Developmental Psychology,PhD,F23,Wait listed,,3.95,,,,2023-04-20,"I did not get any information about the status of my application. I tried emailing the office, and they said the notification would arrive this week. I'm confused because they never sent me a rejection letter or informed me that I'd been placed on the waiting list. Thus, I'm curious if anyone has received an offer or a rejection letter (or even a waiting list). 

I really need that information because I have to make a decision about my future school soon. And thank you for your help."
University Of Western Ontario,MA School And Child Psychology,Masters,F23,Accepted,2023-03-10,3.80,,,,2023-04-20,"Interviewed on February 23rd, accepted March 10th"
University Of Western Ontario,MA Counselling Psychology,Masters,F23,Accepted,2023-03-14,3.80,,,,2023-04-20,Interviewed March 8th
University Of Ottawa,Counselling Psychology (course-based),Masters,F23,Accepted,2023-03-10,3.80,,,,2023-04-20,This was for the MEd course-based program
Temple University,Cognitive Psychology,PhD,F23,Rejected,2023-04-18,3.76,151,3.00,170,2023-04-20,"Only email, official notice is going to be posted later"
Yeshiva University,Clinical Psychology,PsyD,F23,Accepted,2023-04-19,,,,,2023-04-20,Informed that I got off the waitlist on 4/19
Chestnut Hill College,Clinical Psychology,PsyD,F23,Accepted,2023-04-19,3.63,,,,2023-04-20,So late in the admissions cycle but thankful!
George Mason University,Clinical Psychology,PhD,F23,Rejected,2023-04-17,,,,,2023-04-18,"PI: LA
Received a personal email on 4/14 from the Director of Clinical Training stating that despite my strong application, LA chose another applicant - Definitely not surprised, seeing as it is mid-April. However, she also said that her email was meant to be a follow-up on my official decision notification that I should have received at this point, but my portal still reflected ""under review"" status until my rejection letter was finally uploaded on 4/17. I still have yet to receive the normal notification email that the Director said I should have received prior to her reaching out with well-wishes.
Despite this admissions mess, in my experience, LA is a true rarity in Academia. She is both a brilliant researcher and a fantastic mentor and human being. Sending the biggest congratulations to her accepted applicant!"
Fielding G,Clinical Psychology,PhD,F23,Accepted,2023-04-18,,,,,2023-04-18,"Iâ€™m so excited, Iâ€™m shaking! I know the waiting process is long, hang in there everyone still waiting ðŸ¤"
University Of Notre Dame,Psychology,PhD,F23,Wait listed,,,,,,2023-04-17,"Ignore status, has anyone heard remotely anything from Notre Dameâ€™s psych department??? I check here religiously and havenâ€™t seen a thing from anyone in psych nor have I heard anything from the school since February."
University Of Toronto,MA Clinical And Counselling Psychology,Masters,F23,Rejected,2023-04-17,,,,,2023-04-17,Didn't do an undergrad thesis or contact anyone at OISE.
University Of Toronto,Counselling And Clinical Psychology,Masters,F23,Rejected,2023-04-17,3.80,,,,2023-04-17,"OISE, Department of Applied Psychology and Human Development"
Virginia Commonwealth University,Developmental Psychology,PhD,F23,Accepted,2023-04-13,,,,,2023-04-17,
Georgia State University,Clinical Psychology,PhD,F23,Accepted,2023-04-17,,,,,2023-04-17,
Washington State University,Clinical Psychology,PhD,F23,Rejected,2023-04-17,,,,,2023-04-17,No interview and no connection before rejection.
University Of Toledo,Clinical Psychology,PhD,F23,Accepted,2023-04-14,4.00,,,,2023-04-14,PI = PM... I accepted the offer. Good luck to applicants still waiting to hear back!
Montclair State University,Industrial/organizational Psychology,Masters,F23,Rejected,2023-04-13,3.56,154,,156,2023-04-14,International student
University Of Detroit Mercy,Clinical Psychology,PhD,F23,Rejected,2023-04-14,,,,,2023-04-14,"Masters from ivy league school with high GPA, 10 years of research experience, published, interviewed, waitlisted, rejected. Funding is not good, so probably a blessing in disguise."
Chaminade University,Clinical Psychology,PsyD,F23,Accepted,2023-04-12,3.94,,,,2023-04-14,Was waitlisted on 3/31 but got an email over a week and a half later saying that I was accepted!!
George Washington University,Clinical Psychology,PhD,F23,Accepted,2023-04-14,,,,,2023-04-14,"Accepted off of waitlist!!! Not comfortable releasing PI initials. Good luck to others on other waitlists, this cycle was insane and there is still hope!!!"
University Of Alabama,Clinical Psychology,PhD,F23,Accepted,2023-04-07,3.80,,,,2023-04-13,Was waitlisted but just got an offer!
Drexel University,Psychology,Masters,F23,Interview,,,,,,2023-04-13,
Philadelphia College Of Osteopathic Medicine,Clinical Psychology,PsyD,F23,Accepted,2023-04-13,,,,,2023-04-13,"Even though they told me I had to put down a deposit to hold my spot until other schools got back to me, and that it would be refundable if given written notice by April 15th, this school REFUSES to give me back my deposit even though I won't be attending. The ONLY reason I put down a deposit was because they required me to before 3/17 to keep my spot and they promised it would be refundable. They are predatory and will take and keep your money."
